,active_installs,cloud_avg_price,cloud_max_price,cloud_min_price,cloud_review_rate1,cloud_review_rate2,cloud_review_rate3,cloud_review_rate4,cloud_review_rate5,delta_installs,deployment_cloud,deployment_data_center,deployment_server,description,downloads,is_top_vendor,is_vendor_atlasian,license,market_name,marketplace_type,plugin_system_version,rating_num,rating_score,rating_stars,release_date,vendor_name,version,version_build_number,server_avg_price,server_max_price,server_min_price,server_review_rate1,server_review_rate2,server_review_rate3,server_review_rate4,server_review_rate5,dataCenter_avg_price,dataCenter_max_price,dataCenter_min_price,dataCenter_review_rate1,dataCenter_review_rate2,dataCenter_review_rate3,dataCenter_review_rate4,dataCenter_review_rate5
127,15.0,3521.0,8175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Forecast, plan, and monitor your releases, deployments, & projects with Release Manager and our Calculated Release Date gadget",4.0,0.0,0.0,commercial,Release Manager - Deployment Planning,Paid via Atlassian,Three,6.0,2.46569925664936,4.0,1527511320128.0,Heckr,1.0.0-AC,1000000.0,,,,,,,,,,,,,,,,
128,18.0,8222.0,19750.0,2.5,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"Actionable time analysis on data like time spent, time estimated, and time remaining",6.0,0.0,0.0,commercial,Advanced Time Analysis for Jira,Paid via Atlassian,Three,12.0,2.2824529862858,3.333333253860474,1472174249814.0,Heckr,1.0.4-AC,1000004.0,,,,,,,,,,,,,,,,
129,17.0,20562.0,60700.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Plan sprints viewing the team capacity and allocation, and past velocity in a single screen – SCRUM only",3.0,0.0,0.0,commercial,Sprint planning for Jira - SCRUM Only,Paid via Atlassian,Three,1.0,1.475529529535195,4.0,1562159902261.0,"DiViM, Inc.",1.13.24-AC,1013024.0,,,,,,,,,,,,,,,,
130,39.0,,,,,,,,,-1.0,0.0,0.0,1.0,"Record and track your work automatically, create all worklogs at the same time",534.0,0.0,0.0,commercial,Smart Multi Time Tracking for Jira,Paid via Atlassian,Two,1.0,1.475529529535195,4.0,1470405581221.0,APTIS GmbH,1.4.1,100400100.0,728.0,2500.0,10.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
131,228.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,See your popular issues at a glance,7.0,0.0,0.0,commercial-free,Usage Statistics for Jira,Free,Three,3.0,1.835799099753871,3.666666746139526,1404345600000.0,Communardo Labs,1.0.2-AC,1000002.0,,,,,,,,,,,,,,,,
132,29.0,,,,,,,,,-1.0,0.0,0.0,1.0,Use this gadget to monitor your weekly workload,370.0,0.0,0.0,commercial,Weekly Activity Gadget,Paid via Atlassian,Two,1.0,1.475529529535195,4.0,1500478009559.0,MESILAT LIMITED,1.0.8,1000070.0,100.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
133,31.0,,,,,,,,,1.0,0.0,0.0,1.0,SLA tracking using Traffic Light and Number of working days elapsed,420.0,0.0,0.0,commercial,Days Elapsed Plugin,Paid via Atlassian,Two,3.0,1.247779919035435,2.333333253860474,1445212800000.0,Akeles Consulting,2.1.0,200100000.0,384.0,1000.0,10.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,
134,19.0,15556.0,45675.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,"Brand New! Fully-Integrated, Highly Intuitive JIRA Time Tracking, Timesheets & Reports by Timescale",0.0,0.0,0.0,commercial,Timescale - Time Tracking & Reports,Paid via Atlassian,Three,1.0,1.475529529535195,4.0,1588938774072.0,CentralPoint,1.1.0-AC,1001000.0,,,,,,,,,,,,,,,,
135,8.0,3521.0,8175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Stylish estimate accuracy gadget for displaying how accurate your estimates were versus actual time spent,4.0,0.0,0.0,commercial,Estimate Accuracy Gadget for Jira Cloud,Paid via Atlassian,Three,6.0,2.46569925664936,4.0,1507109934365.0,Heckr,1.0.0-AC,1000000.0,,,,,,,,,,,,,,,,
136,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Instantly connect your developers' work in Jira and your project managers' plans in Project Insight,8.0,0.0,0.0,commercial-free,Project Insight for Jira,Free,Three,1.0,1.475529529535195,4.0,1485314505747.0,Project Insight,1.4.0-AC,1004000.0,,,,,,,,,,,,,,,,
137,137.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,Timely - Time tracking and planning,0.0,0.0,0.0,commercial-free,Timely,Free,Three,3.0,1.504693109250054,3.0,1592549703554.0,Memory,1.1.1-AC,1001001.0,,,,,,,,,,,,,,,,
138,143.0,,,,,,,,,6.0,0.0,0.0,1.0,"Add, delete and update monthly worklogs",1972.0,0.0,0.0,commercial-free,QLogger,Free,Two,5.0,1.802839732571184,3.200000047683716,1354233600000.0,OBSS,2.4.0,65.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,
139,87.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Boost your productivity with Pomodoro Technique,0.0,0.0,0.0,commercial,Domat Pomodoro for Jira,Free,Three,3.0,1.835799099753871,3.666666746139526,1588683117353.0,Kod Gemisi,1.0.2-AC,1000002.0,,,,,,,,,,,,,,,,
